CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Blood Sugar Controlled,C11: Controlling High Blood Pressure,C12: Reducing the Risk of Falling,C13: Improving Bladder Control,C14: Medication Reconciliation Post-Discharge,C15: Plan All-Cause Readmissions,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Transitions of Care,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C19: Getting Needed Care,C20: Getting Appointments and Care Quickly,C21: Customer Service,C22: Rating of Health Care Quality,C23: Rating of Health Plan,C24: Care Coordination,C25: Complaints about the Health Plan,C26: Members Choosing to Leave the Plan,C27: Health Plan Quality Improvement,C28: Plan Makes Timely Decisions about Appeals,C29: Reviewing Appeals Decisions,C30: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD),Unnamed: 47,C01: Breast Cancer Screening_flag,C02: Colorectal Cancer Screening_flag,C03: Annual Flu Vaccine_flag,C04: Monitoring Physical Activity_flag,C05: Special Needs Plan (SNP) Care Management_flag,C06: Care for Older Adults – Medication Review_flag,C07: Care for Older Adults – Pain Assessment_flag,C08: Osteoporosis Management in Women who had a Fracture_flag,C09: Diabetes Care – Eye Exam_flag,C10: Diabetes Care – Blood Sugar Controlled_flag,C11: Controlling High Blood Pressure_flag,C12: Reducing the Risk of Falling_flag,C13: Improving Bladder Control_flag,C14: Medication Reconciliation Post-Discharge_flag,C15: Plan All-Cause Readmissions_flag,C16: Statin Therapy for Patients with Cardiovascular Disease_flag,C17: Transitions of Care_flag,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions_flag,C19: Getting Needed Care_flag,C20: Getting Appointments and Care Quickly_flag,C21: Customer Service_flag,C22: Rating of Health Care Quality_flag,C23: Rating of Health Plan_flag,C24: Care Coordination_flag,C25: Complaints about the Health Plan_flag,C26: Members Choosing to Leave the Plan_flag,C27: Health Plan Quality Improvement_flag,C28: Plan Makes Timely Decisions about Appeals_flag,C29: Reviewing Appeals Decisions_flag,C30: Call Center – Foreign Language Interpreter and TTY Availability_flag,D01: Call Center – Foreign Language Interpreter and TTY Availability_flag,D02: Complaints about the Drug Plan_flag,D03: Members Choosing to Leave the Plan_flag,D04: Drug Plan Quality Improvement_flag,D05: Rating of Drug Plan_flag,D06: Getting Needed Prescription Drugs_flag,D07: MPF Price Accuracy_flag,D08: Medication Adherence for Diabetes Medications_flag,D09: Medication Adherence for Hypertension (RAS antagonists)_flag,D10: Medication Adherence for Cholesterol (Statins)_flag,D11: MTM Program Completion Rate for CMR_flag,D12: Statin Use in Persons with Diabetes (SUPD)_flag,data_completeness_score,has_meaningful_data,overall_score
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.0,False,
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",75.0,80.0,65.0,46.0,87.0,97.0,97.0,76.0,86.0,87.0,83.0,59.0,52.0,87.0,10.0,85.0,82.0,63.0,86.0,89.0,93.0,89.0,92.0,86.0,0.04,8.0,,99.0,98.0,11.0,11.0,0.04,8.0,,90.0,93.0,99.0,85.0,88.0,87.0,90.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,70.127
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70.0,79.0,62.0,45.0,85.0,95.0,98.0,34.0,81.0,85.0,83.0,67.0,45.0,62.0,12.0,87.0,59.0,59.0,81.0,84.0,89.0,86.0,89.0,86.0,0.19,22.0,,98.0,97.0,98.0,100.0,0.19,22.0,,89.0,92.0,99.0,87.0,87.0,89.0,88.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,71.90950000000001
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,69.0,61.0,77.0,55.0,65.0,93.0,91.0,29.0,72.0,77.0,72.0,59.0,41.0,66.0,10.0,86.0,53.0,49.0,82.0,84.0,91.0,90.0,87.0,87.0,0.4,33.0,,91.0,93.0,98.0,100.0,0.4,33.0,,87.0,,98.0,84.0,86.0,84.0,94.0,90.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9285714285714286,True,69.68717948717949
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,"Independence Health Group, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.0,False,
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",65.0,69.0,59.0,40.0,71.0,96.0,98.0,28.0,78.0,79.0,78.0,61.0,44.0,63.0,13.0,85.0,42.0,54.0,84.0,85.0,91.0,88.0,92.0,86.0,0.1,7.0,,99.0,97.0,98.0,100.0,0.1,7.0,,92.0,92.0,99.0,85.0,86.0,86.0,88.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,69.255
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,58.0,64.0,61.0,36.0,,,,,73.0,76.0,68.0,,,70.0,,87.0,54.0,46.0,86.0,,,87.0,87.0,,0.32,42.0,,,,98.0,100.0,0.32,42.0,,88.0,,98.0,80.0,85.0,84.0,90.0,87.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.6428571428571429,True,68.43111111111111
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,80.0,81.0,72.0,50.0,,,,61.0,86.0,92.0,76.0,54.0,46.0,92.0,14.0,93.0,82.0,73.0,84.0,87.0,91.0,89.0,89.0,89.0,0.07,15.0,,99.0,99.0,98.0,97.0,0.07,15.0,,89.0,90.0,86.0,88.0,90.0,90.0,80.0,91.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,73.19297297297297
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",80.0,74.0,67.0,50.0,82.0,96.0,99.0,33.0,76.0,88.0,73.0,51.0,47.0,62.0,10.0,88.0,53.0,58.0,80.0,82.0,88.0,85.0,85.0,86.0,0.2,13.0,,100.0,98.0,98.0,100.0,0.2,13.0,,86.0,88.0,99.0,86.0,90.0,89.0,87.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,70.66
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona (AZ Blue) ,Blue Cross Blue Shield of Arizona ,73.0,82.0,71.0,53.0,,,,56.0,76.0,88.0,81.0,57.0,53.0,84.0,10.0,87.0,80.0,77.0,78.0,81.0,91.0,85.0,87.0,84.0,0.05,9.0,,97.0,98.0,36.0,63.0,0.05,9.0,,86.0,87.0,98.0,89.0,92.0,92.0,94.0,89.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,69.54324324324324
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",69.0,72.0,67.0,54.0,79.0,94.0,97.0,34.0,79.0,87.0,71.0,63.0,46.0,57.0,13.0,84.0,41.0,64.0,81.0,,89.0,,89.0,,0.17,9.0,,98.0,98.0,98.0,100.0,0.17,9.0,,89.0,,99.0,85.0,85.0,83.0,86.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8571428571428571,True,68.2038888888889
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"UnitedHealth Group, Inc. ",80.0,80.0,78.0,58.0,,,,77.0,82.0,86.0,91.0,62.0,52.0,90.0,11.0,88.0,82.0,57.0,77.0,77.0,93.0,89.0,91.0,87.0,0.1,5.0,,100.0,100.0,98.0,98.0,0.1,5.0,,90.0,91.0,99.0,87.0,90.0,88.0,93.0,90.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,73.57297297297296
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.0,False,
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,98.0,,,,,,98.0,85.0,90.0,87.0,89.0,90.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.23809523809523808,True,93.4
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Wellcare by Allwell ,Centene Corporation ,70.0,69.0,59.0,44.0,66.0,99.0,93.0,62.0,78.0,88.0,77.0,50.0,39.0,77.0,11.0,80.0,51.0,57.0,80.0,81.0,90.0,83.0,83.0,,0.26,19.0,,95.0,100.0,98.0,100.0,0.26,19.0,,83.0,87.0,99.0,88.0,90.0,90.0,85.0,87.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9285714285714286,True,69.93641025641026
H0354 ,Local CCP ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",Cigna Healthcare ,The Cigna Group ,76.0,78.0,70.0,52.0,66.0,98.0,98.0,54.0,80.0,85.0,79.0,53.0,44.0,87.0,12.0,89.0,71.0,70.0,80.0,84.0,90.0,86.0,88.0,85.0,0.18,9.0,,98.0,97.0,95.0,97.0,0.18,9.0,,89.0,90.0,100.0,86.0,90.0,90.0,93.0,90.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,72.709
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",,,,,94.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,92.0,94.0,,,,,,99.0,88.0,91.0,93.0,100.0,88.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.2619047619047619,True,94.45454545454545
H0421 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.0,False,
H0423 ,Local CCP ,"METROPLUS HEALTH PLAN, INC. ",MetroPlus Health Plan ,New York City Health and Hospitals Corporation ,79.0,75.0,67.0,60.0,60.0,91.0,91.0,,79.0,85.0,86.0,70.0,,83.0,11.0,86.0,71.0,57.0,75.0,,88.0,,84.0,,0.21,18.0,,98.0,95.0,87.0,92.0,0.21,18.0,,83.0,88.0,98.0,89.0,89.0,88.0,99.0,91.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8333333333333334,True,72.32628571428572
H0432 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",73.0,75.0,58.0,45.0,78.0,97.0,100.0,32.0,82.0,83.0,71.0,61.0,41.0,65.0,12.0,85.0,43.0,49.0,85.0,87.0,91.0,87.0,88.0,86.0,0.14,27.0,,99.0,97.0,98.0,100.0,0.14,27.0,,90.0,91.0,99.0,81.0,84.0,83.0,86.0,84.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,70.50699999999999
H0439 ,Local CCP ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",Cigna Healthcare ,The Cigna Group ,72.0,79.0,68.0,53.0,70.0,94.0,94.0,45.0,71.0,80.0,73.0,57.0,42.0,84.0,10.0,83.0,57.0,57.0,84.0,87.0,90.0,88.0,88.0,88.0,0.15,22.0,,99.0,97.0,95.0,97.0,0.15,22.0,,88.0,90.0,99.0,84.0,88.0,87.0,93.0,83.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,71.45750000000001
H0473 ,Local CCP ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana ,Humana Inc. ,70.0,74.0,63.0,51.0,,,,38.0,76.0,85.0,73.0,62.0,45.0,85.0,11.0,84.0,66.0,53.0,83.0,84.0,90.0,88.0,88.0,87.0,0.16,23.0,,99.0,97.0,98.0,97.0,0.16,23.0,,89.0,90.0,84.0,82.0,88.0,88.0,79.0,82.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,69.60324324324324
